source,target
urgency since yesterday,urinary_tract_infection
"Patient reports restlessness, rapid heartbeat",anxiety
"nasal congestion, sneezing, runny nose",common_cold
nasal congestion,common_cold
"night cough, chest tightness, wheezing",asthma
"wheezing, night cough, shortness of breath, chest tightness",asthma
"diarrhea, vomiting",gastroenteritis
"nausea, severe headache, visual aura",migraine
"productive cough, chest pain, shortness of breath, fever",pneumonia
moderate nasal congestion,common_cold
shortness of breath,hypertension
loss of interest,depression
"mild fractures, back pain, loss of height, bone pain",osteoporosis
trembling,anxiety
"chills, fever, sore throat since yesterday",influenza
"loss of interest, fatigue, persistent sadness, sleep disturbance",depression
"nausea, diarrhea, vomiting and stomach cramps",gastroenteritis
"sweating, trembling",anxiety
"productive cough, shortness of breath, fever, chest pain",pneumonia
"sweating, chest pain",heart_disease
"sensitivity to light, itchy eyes, sneezing, nasal congestion, runny nose",allergic_rhinitis
persistent sadness,depression
"lower abdominal pain, burning urination, frequent urination, urgency",urinary_tract_infection
"shortness of breath, pale skin, fatigue, dizziness",anemia
"Patient reports moderate fever, chest pain, shortness of breath",pneumonia
severe urgency for 2 days,urinary_tract_infection
"dry skin, dry cough and fatigue",covid-19
mucus for a week,bronchitis
"right lower abdominal pain, left arm pain, shortness of breath",appendicitis
"increased thirst, nasal congestion, frequent urination, weight loss",diabetes
"chest discomfort, persistent cough for 2 days",bronchitis
"fever, nausea, loss of appetite, r",appendicitis
"burning urination, frequent urination, urgency, fractures",urinary_tract_infection
right lower abdominal pain,appendicitis
"fatigue, dry cough, loss of taste, fever",covid-19
hearing difficulty,otitis_media
"dizziness, pale skin, shortness of",anemia
"fatigue, dry cough, loss of smell, fever, fatigue, weight loss",covid-19
fever,otitis_media
"Patient reports fever, productive cough",pneumonia
"nasal congestion, runny nose",allergic_rhinitis
"shortness of breath, night cough and wheezing",asthma
"fever, hearing difficulty, ear pain",otitis_media
"Complains of shortness of breath, chest discom",bronchitis
fever,appendicitis
persistent sadness for 2 days,depression
"dizziness, fatigue, pale skin and shortness of breath for several months",anemia
diarrhea,gastroenteritis
"right lower abdominal pain, nausea, fever",appendicitis
"bone pain, loss of height",osteoporosis
"shortness of breath, sweating for a week",heart_disease
"chest pain, loss of smell",covid-19
"nasal congestion, sneezing, runny nose, fever, shortness of breath",common_cold
"blisters, red patches and dry skin",eczema
"chest pain, shortness of breath, sweating since yesterday",heart_disease
"mucus, chest discomfort, shortness of breath",bronchitis
"headache, dizziness and blurred vision",hypertension
persistent sadness,anxiety
"dizziness, headache, blurred vision, nosebleed",hypertension
"night cough, shortness of breath and wheezing",asthma
"itchy skin, dry skin, urgency",eczema
weight loss and fatigue,diabetes
Patient reports cough,influenza
loss of interest,depression
"urgency, runny nose",urinary_tract_infection
"Patient reports chest discomfort, persistent cough, mucus, shortness of breath",bronchitis
"bone pain, visual aura, sensitivity to light, nausea for several months",migraine
"nausea, right lower abdominal pain, fatigue, fever, pale skin, loss of appetite",appendicitis
sneezing and runny nose since yesterday,allergic_rhinitis
productive cough and shortness of breath,pneumonia
"runny nose, nosebleed, headache, nasal congestion ",hypertension
"dry cough, loss of smell, fever and fatigue",covid-19
"right lower abdominal pain, headache, blurred vision",hypertension
"Complains of chest tightness, mucus, shortness of breath, wheezing, pers",asthma
"I have itchy eyes, urgency, lower abdominal pain, nasal congestion, frequent urination and burning urination",urinary_tract_infection
"lower abdominal pain, urgency, frequent urination, burning urination",urinary_tract_infection
"night cough, shortness of breath, wheezing and chest tightness",asthma
"Complains of diarrhea, stomach cramps",gastroenteritis
bone pain,osteoporosis
"burning urination, urgency, frequent urination, lower abdominal pain",urinary_tract_infection
rapid heartbeat,anxiety
"itchy skin, dry skin, weight loss, increased",diabetes
"nasal congestion, sneezing, mild cough, runny nose",common_cold
"loss of smell, dry cough, fever",covid-19
fever,influenza
"mild wheezing, night cough for 2 days",asthma
"fever, loss of smell, dry cough, fatigue, loss of taste",covid-19
"Patient reports right lower abdominal pain, nausea, fever for a week",appendicitis
"Complains of mild urgency, burning urination, lower abdominal pain, frequent urination for several months",urinary_tract_infection
"ear pain, hearing difficulty, fever",otitis_media
"Patient reports dizziness, loss of interest, persistent sadness, pale skin, fatigue for several months",anemia
"fatigue, sore throat, fever, chills for 2 days",influenza
restlessness,anxiety
shortness of breath,heart_disease
"ear drainage, fever, hearing difficulty and ear pain for several months",otitis_media
"fever, shortness of breath, chest pain",pneumonia
"visual aura, sleep disturbance, sensitivity to light, nausea, severe headache",migraine
I have fatigue,diabetes
"Patient reports weight loss, frequent urination",diabetes
"chest discomfort, sleep disturbance",bronchitis
"cough, fatigue, chills, sore throat, fever and body ache",influenza
"dizziness, fever since yesterday",anemia
frequent urination for 2 days,diabetes
"loss of appetite, fever since yesterday",appendicitis
"wheezing, shortness of breath, loss of height, night cough and chest tightness",asthma
fatigue,anemia
"fever, fatigue, dry cough, loss of taste, loss of smell for several months",covid-19
"frequent urination, nausea, lower abdominal pain, burning urination, urgency, stomach cramps",urinary_tract_infection
"nosebleed, headache, dizziness",hypertension
wheezing,asthma
"sweating, shortness of breath and chest pain",heart_disease
"mild dizziness, nosebleed for a week",hypertension
"fatigue, persistent sadness, sleep disturbance and loss of interest",depression
"Patient reports mild mucus, chest discomfort, persistent cough",bronchitis
"body ache, fatigue, chills, cough, sore throat, fever",influenza
weight loss and fatigue,diabetes
"Patient reports fever, sore throat, chills, fatigue",influenza
"fever, right lower abdominal pain, loss of appetite and fever",appendicitis
"dry cough, chest pain",heart_disease
burning urination,urinary_tract_infection
"mild visual aura, fatigue, dizziness and shortness of breath",anemia
Patient reports stomach cramps and sensitivity to light,gastroenteritis
urgency,urinary_tract_infection
severe burning urination,urinary_tract_infection
"chest tightness, night cough, runny nose",asthma
"nausea, stomach cramps, diarrhea, shortness of breath",gastroenteritis
persistent cough,bronchitis
right lower abdominal pain and loss of appetite for 2 days,appendicitis
chest pain and fever,pneumonia
"ear drainage, loss of taste, fev",covid-19
"nausea, wheezing, diarrhea, vomiting",gastroenteritis
"stomach cramps, diarrhea, fever, nausea and vomiting",gastroenteritis
"chest tightness, wheezing, shortness of breath",asthma
Complains of fever,appendicitis
"pale skin, shortness of breath, dizziness",anemia
"nasal congestion, itchy eyes, runny nose, sneezing",allergic_rhinitis
"I have runny nose, sneezing, nasal congestion",common_cold
"runny nose, restlessness, trembling, rapid heartbeat, sweating",anxiety
"cough, fever, fatigue, chills, body ache, sore throat",influenza
"fatigue, frequent urination, increased thirst, fever, blurred vision, weight loss",diabetes
"urgency, frequent urination, blurred vision",urinary_tract_infection
"dry cough, fatigue",covid-19
"fatigue, increased thirst, weight loss, frequent urination and blurred vision",diabetes
"nasal congestion, fever, sneezing, itchy eyes",allergic_rhinitis
"nausea, vomiting",gastroenteritis
"trembling, sweating, rapid heartbeat",anxiety
"severe headache, sensitivity to light, visual aura, nausea",migraine
"severe body ache, fatigue, sore throat, chills, fever, cough",influenza
sweating,anxiety
"weight loss, fatigue, restlessness, frequent urination, increased thirst and blurred vision",diabetes
"nausea, vomiting",gastroenteritis
"body ache, fatigue, shortness of breath, dizziness",anemia
"back pain, loss of height, fractures and bone pain",osteoporosis
nausea,gastroenteritis
"loss of height, fractures, back pain, bone pain",osteoporosis
"mucus, persistent cough, chest discomfort, shortness of breath",bronchitis
"diarrhea, stomach cramps, nausea, vomiting",gastroenteritis
persistent sadness,migraine
"frequent urination, increased thirst, blurred vision, fatigue",diabetes
headache,covid-19
"fever, productive cough, chest pain, fatigue for several months",pneumonia
"shortness of breath, chest pain, weight loss, blurred vision, sweating since yesterday",heart_disease
"moderate runny nose, mild cough and sneezing",common_cold
"stomach cramps, nausea, diarrhea for a week",gastroenteritis
"chest discomfort, persistent cough",bronchitis
"visual aura, sensitivity to light, nausea and severe headache",migraine
"I have chest pain, blurred vision, increased thirst, sweating, shortness of breath",heart_disease
"ear pain, hearing difficulty, ",otitis_media
"loss of smell, dry cough, loss of taste, fever and fatigue",covid-19
"runny nose, dizziness, nasal congestion and sneezing",allergic_rhinitis
"mild nausea, right lower abdominal pain, chest discomfort",appendicitis
"I have fever, shortness of breath, productive cough and chest pain",pneumonia
"ear pain, fever",otitis_media
"fractures, back pain, bone pain since yesterday",osteoporosis
frequent urination for several months,diabetes
"back pain, loss of height, bone pain, fractures, fatigue",osteoporosis
chest tightness,asthma
"dry cough, fever",covid-19
night cough and wheezing,asthma
Complains of sore throat,appendicitis
fever and fatigue,covid-19
Patient reports itchy eyes,allergic_rhinitis
moderate mucus,bronchitis
"Patient reports runny nose, mild cough, nasal congestion, sneezing for a week",common_cold
